Recency,Frequency,Monetary,Segment,R_Score,F_Score,M_Score,RFM_Score,Churn,CustomerID,Priority_Score,Priority_Level
325,1,77183.6,Churn Likely,1,1,5,115,1,1000,38527.100000000006,High
1,7,4310.0,VIP,5,5,5,555,0,1001,2156.9,High
74,4,1797.24,Regular,2,4,4,244,0,1002,885.0200000000001,High
18,1,1757.55,Regular,4,1,4,414,0,1003,875.4749999999999,High
309,1,334.4,Churn Likely,1,1,2,112,1,1004,105.69999999999999,High
35,8,2506.04,Loyal,3,5,5,355,0,1005,1248.42,High
203,1,89.0,Churn Likely,1,1,1,111,1,1006,4.199999999999996,Low
231,1,1079.4,Churn Likely,1,1,4,114,1,1007,493.8,High
213,1,459.4,Churn Likely,1,1,2,112,1,1008,187.4,High
22,3,2811.43,Loyal,4,3,5,435,0,1009,1402.215,High
32,1,6207.67,Regular,4,1,5,415,0,1010,3097.735,High
1,2,1168.06,Regular,5,2,4,524,0,1011,584.43,High
57,4,6310.03,Loyal,3,4,5,345,0,1012,3144.8149999999996,High
51,3,2662.06,Loyal,3,3,5,335,0,1013,1321.73,High
286,1,189.9,Churn Likely,1,1,1,111,1,1014,38.05,Low
2,10,5226.23,VIP,5,5,5,555,0,1015,2615.7149999999997,High
109,2,552.0,Regular,2,2,3,223,0,1016,254.8,High
7,4,1313.1,Loyal,5,4,4,544,0,1017,656.35,High
290,2,641.38,Churn Likely,1,2,3,123,1,1018,263.29,High
3,1,168.9,Regular,5,1,1,511,0,1019,84.15,High
50,4,3541.94,Loyal,3,4,5,345,0,1020,1762.17,High
44,2,1887.96,Regular,3,2,4,324,0,1021,935.7800000000001,High
71,3,1298.04,Regular,3,3,4,334,0,1022,635.7199999999999,High
310,1,364.6,Churn Likely,1,1,2,112,1,1023,120.60000000000002,High
24,1,742.9300000000001,Regular,4,1,3,413,0,1024,366.96500000000003,High
10,2,457.5,Regular,5,2,2,522,0,1025,227.35,High
314,2,1628.12,Churn Likely,1,2,4,124,1,1026,751.86,High
129,1,4008.62,At Risk,2,1,5,215,0,1027,1978.81,High
81,2,852.24,Regular,2,2,3,223,0,1028,410.52000000000004,High
21,4,2724.81,Loyal,4,4,5,445,0,1029,1359.405,High
4,5,1845.31,VIP,5,4,4,544,0,1030,923.355,High
184,5,1850.56,Churn Likely,1,4,4,144,1,1031,889.98,High
28,2,585.27,Regular,4,2,3,423,0,1032,287.635,High
337,2,401.9,Churn Likely,1,2,2,122,1,1033,134.14999999999998,High
15,6,2780.66,VIP,4,4,5,445,0,1034,1389.1299999999999,High
79,1,549.84,Regular,2,1,3,213,0,1035,259.42,High
21,1,439.66,Regular,4,1,2,412,0,1036,215.93000000000004,High
71,4,1582.6000000000001,Regular,3,4,4,344,0,1037,778.3000000000001,High
63,2,1272.48,Regular,3,2,4,324,0,1038,624.24,High
18,12,3018.63,VIP,4,5,5,455,0,1039,1509.315,High
35,2,2409.9,Regular,3,2,5,325,0,1040,1198.55,High
45,1,1635.6599999999999,Regular,3,1,4,314,0,1041,809.1299999999999,High
118,4,1108.65,Regular,2,4,4,244,0,1042,531.9250000000001,High
302,1,84.3,Churn Likely,1,1,1,111,1,1043,-17.95000000000001,Low
322,1,225.6,Churn Likely,1,1,1,111,1,1044,48.69999999999999,Medium
49,1,427.7,Regular,3,1,2,312,0,1045,204.35,High
148,1,1710.39,At Risk,2,1,4,214,0,1046,825.895,High
21,2,3415.3,Regular,4,2,5,425,0,1047,1704.05,High
